#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N662EZ",unit_software_part_number="006-B1727-3B",software_version="9.52",system_id="60002CA61BD97",unit="MFD1",airframe_hours="125.1",engine_hours="127.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,Yaw Damper State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,YD Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Radar Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),AFCS Attitude Status,Network Status,Transponder Code,Transponder Mode,Engine Power (%),Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Flap Position,Fuel Qty L (gal),Fuel Qty R (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Aileron Trim,CO,Tank Psi,Pilot Spo2,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),AUX BAT FAUL (discrete),Stall Switch (discrete),Pitot Temp (discrete),PRIM BAT FAU (discrete),L DOOR (discrete),R DOOR (discrete),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,RALT,WndSpd,WndDr,,,,,,,,,,,E1 %Pwr,E1 MAP,E1 RPM,E1 OilP,E1 OilT,Flaps,FQty1,FQty2,E1 FFlow,E1 FPres,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,,,,,
2026-03-27,15:28:21,22:28:21,-07:00,+37.7335452,-122.2154133,55,3D (PFD1),512919.4,0.0,,0,0,-0.01,225.8,240,258,4,-2,25,2,11.6,12,0.95,-0.02,0.001,0.995,-0.120,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail / Flight director not usable,Fail / System not usable,,,,,,,,,,,,,,,0.0,28.0,1497,,-0,,,040017FF D82 D24 * 00000000,480117FF N100 N56,0.0,0.1,3,3,080097FE N86,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.4,31,-64,247,2420,97,77,73,73,73,70,72,75,70,70,75,70,70,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:22,22:28:22,-07:00,+37.7335430,-122.2154103,54,3D (PFD1),512920.4,0.0,,0,0,-0.00,225.8,208,196,4,-2,25,3,11.6,12,0.94,-0.03,-0.003,0.998,-0.120,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,Fail,,,,,,,,,,,,,,,0.0,28.0,1497,,-0,,,040017FF D94 D36 * 00000000,480117FF N100 N59,0.0,0.1,2,2,080097FE N90,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.4,31,-64,247,2420,97,77,73,73,73,70,72,75,70,70,75,70,70,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:23,22:28:23,-07:00,+37.7335440,-122.2154089,53,3D (PFD1),512921.4,0.0,,0,0,-0.00,225.8,186,158,4,-2,25,3,11.6,12,0.93,-0.00,-0.002,0.996,-0.120,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,Fail,,,,,,,,,,,,,,,0.0,28.0,1496,,-0,,,040017FF D98 D48 * 00000000,480117FF N100 N63,0.0,0.1,3,3,080097FE N94,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.4,31,-64,247,2420,97,77,73,73,73,70,72,75,70,70,75,70,70,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:24,22:28:24,-07:00,+37.7334990,-122.2153901,54,3D (PFD1),512922.4,0.0,,0,0,-0.00,225.8,55,121,9,-2,25,2,11.4,12,0.93,-0.03,0.002,0.994,-0.118,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,Fail,,,,,,,,,,,,,,,0.0,28.0,1495,,-0,,,040017FF D98 D55 * 00000000,480117FF N100 N66,0.0,0.1,2,3,080097FE N98,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.4,31,-64,247,2420,97,77,73,73,73,70,72,75,70,70,75,70,70,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:25,22:28:25,-07:00,+37.7334857,-122.2153901,54,3D (PFD1),512923.4,0.0,,0,0,-0.00,225.7,35,92,9,-1,25,2,11.3,12,0.91,-0.02,-0.001,0.997,-0.114,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,Fail,,,,,,,,,,,,,,,0.0,28.0,1495,,-0,,,040017FF D98 D60 * 00000000,480117FF N100 N69,0.0,0.1,5,4,080097FE N100,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.5,31,-64,247,2420,97,77,73,73,73,70,72,75,70,70,75,70,70,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:26,22:28:26,-07:00,+37.7334789,-122.2153894,53,3D (PFD1),512924.4,0.0,,0,0,-0.00,225.7,28,75,9,-2,25,1,11.2,11,0.93,-0.04,0.001,0.996,-0.112,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,Fail,,,,,,,,,,,,,,,0.0,28.0,1494,,-0,,,040017FF D98 D67 * 00000000,480117FF N100 N72,0.0,0.1,3,3,080097FE N100,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.5,31,-64,247,2420,97,77,73,73,73,70,72,75,70,70,75,70,70,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:27,22:28:27,-07:00,+37.7334775,-122.2153896,53,3D (PFD1),512925.4,0.0,,0,0,-0.00,225.6,25,64,9,-2,25,0,11.0,11,0.94,-0.02,-0.000,0.997,-0.110,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,Fail,,,,,,,,,,,,,,,0.0,28.0,1493,,-0,,,040017FF D98 D79 * 00000000,480117FF N100 N75,0.0,0.1,2,2,080097FE N100,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.5,31,-64,247,2420,97,77,73,73,73,70,73,75,70,70,75,70,75,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:28,22:28:28,-07:00,+37.7334769,-122.2153894,52,3D (PFD1),512926.4,0.0,,0,0,-0.00,225.6,22,56,9,-1,25,2,11.0,11,0.96,-0.01,0.001,0.996,-0.106,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,Fail,,,,,,,,,,,,,,,0.0,27.9,1492,,-0,,,040017FF D98 D91 * 00000000,480117FF N100 N79,0.0,0.1,2,3,080097FE N100,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.5,31,-64,247,2420,97,77,73,73,73,70,73,75,70,70,75,70,75,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:29,22:28:29,-07:00,+37.7334763,-122.2153886,52,3D (PFD1),512927.4,0.0,,0,0,-0.00,225.6,21,50,9,-1,25,2,11.1,11,0.96,0.00,0.001,0.997,-0.103,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,Fail,,,,,,,,,,,,,,,0.0,27.9,1491,,-0,,,040017FF D98 D98 * 00000000,480117FF N100 N82,0.0,0.1,1,2,080097FE N100,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.5,31,-64,247,2420,97,77,73,73,73,70,73,75,70,70,75,70,75,0,0,0,0,0,0,CO / TRAFFIC FAIL,
