#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N662EZ",unit_software_part_number="006-B1727-3B",software_version="9.52",system_id="60002CA61BD97",unit="PFD2",airframe_hours="125.1",engine_hours="127.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,Yaw Damper State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,YD Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Radar Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),AFCS Attitude Status,Network Status,Transponder Code,Transponder Mode,Engine Power (%),Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Flap Position,Fuel Qty L (gal),Fuel Qty R (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Aileron Trim,CO,Tank Psi,Pilot Spo2,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),AUX BAT FAUL (discrete),Stall Switch (discrete),Pitot Temp (discrete),PRIM BAT FAU (discrete),L DOOR (discrete),R DOOR (discrete),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,RALT,WndSpd,WndDr,,,,,,,,,,,E1 %Pwr,E1 MAP,E1 RPM,E1 OilP,E1 OilT,Flaps,FQty1,FQty2,E1 FFlow,E1 FPres,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,,,,,
2026-03-27,15:28:22,22:28:22,-07:00,+37.7335439,-122.2154121,54,3D (PFD1),512919.9,0.0,,0,0,-0.01,225.8,225,229,4,-2,25,2,11.6,12,0.93,-0.03,-0.002,0.998,-0.120,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail / Flight director not usable,Fail / System not usable,,,,,,,,,,,,,,,0.0,28.0,1497,,-0,,,040017FF D89 D31 * 00000000,480117FF N100 N58,0.0,0.1,2,3,080097FE N88,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.4,31,-64,247,2420,97,77,73,73,73,70,72,75,70,70,75,70,70,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:23,22:28:23,-07:00,+37.7335426,-122.2154093,54,3D (PFD1),512920.9,0.0,,0,0,-0.00,225.8,198,178,4,-2,25,4,11.6,12,0.93,-0.03,-0.001,0.995,-0.120,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,Fail,,,,,,,,,,,,,,,0.0,28.0,1496,,-0,,,040017FF D98 D43 * 00000000,480117FF N100 N61,0.0,0.1,3,3,080097FE N92,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.4,31,-64,247,2420,97,77,73,73,73,70,72,75,70,70,75,70,70,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:24,22:28:24,-07:00,+37.7335447,-122.2154086,53,3D (PFD1),512921.9,0.0,,0,0,-0.00,225.8,179,146,4,-2,25,2,11.5,12,0.92,-0.03,0.001,0.994,-0.119,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,Fail,,,,,,,,,,,,,,,0.0,28.0,1496,,-0,,,020017FF D98 D53 * 00000000,480117FF N100 N64,0.0,0.1,3,3,080097FE N96,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.4,31,-64,247,2420,97,77,73,73,73,70,72,75,70,70,75,70,70,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:25,22:28:25,-07:00,+37.7334941,-122.2153914,55,3D (PFD1),512922.9,0.0,,0,0,-0.01,225.8,42,106,9,-2,25,2,11.4,12,0.92,-0.01,-0.002,1.002,-0.116,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,Fail,,,,,,,,,,,,,,,0.0,28.0,1495,,-0,,,020017FF D98 D55 * 00000000,480117FF N100 N68,0.0,0.1,5,4,080097FE N100,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.5,31,-64,247,2420,97,77,73,73,73,70,72,75,70,70,75,70,70,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:26,22:28:26,-07:00,+37.7334819,-122.2153900,54,3D (PFD1),512923.9,0.0,,0,0,-0.00,225.7,32,84,9,-2,25,2,11.2,11,0.94,-0.03,-0.000,0.994,-0.113,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,Fail,,,,,,,,,,,,,,,0.0,28.0,1494,,-0,,,020017FF D98 D62 * 00000000,480117FF N100 N71,0.0,0.1,3,3,080097FE N100,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.5,31,-64,247,2420,97,77,73,73,73,70,72,75,70,70,75,70,70,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:27,22:28:27,-07:00,+37.7334781,-122.2153895,53,3D (PFD1),512924.9,0.0,,0,0,-0.00,225.6,27,70,9,-2,25,0,11.1,11,0.93,-0.03,0.001,0.997,-0.111,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,Fail,,,,,,,,,,,,,,,0.0,28.0,1494,,-0,,,040017FF D98 D74 * 00000000,480117FF N100 N75,0.0,0.1,2,2,080097FE N100,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.5,31,-64,247,2420,97,77,73,73,73,70,72,75,70,70,75,70,75,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:28,22:28:28,-07:00,+37.7334772,-122.2153895,53,3D (PFD1),512925.9,0.0,,0,0,-0.00,225.6,24,61,9,-1,25,1,10.9,11,0.96,-0.00,-0.002,0.997,-0.108,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,Fail,,,,,,,,,,,,,,,0.0,27.9,1493,,-0,,,040017FF D98 D86 * 00000000,480117FF N100 N78,0.0,0.1,1,3,080097FE N100,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.5,31,-64,247,2420,97,77,73,73,73,70,73,75,70,70,75,70,75,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:29,22:28:29,-07:00,+37.7334766,-122.2153892,52,3D (PFD1),512926.9,0.0,,0,0,-0.00,225.6,22,54,9,-1,25,2,11.0,11,0.95,-0.04,-0.002,0.996,-0.105,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,Fail,,,,,,,,,,,,,,,0.0,27.9,1492,,-0,,,020017FF D98 D96 * 00000000,480117FF N100 N81,0.0,0.1,2,2,080097FE N100,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.5,31,-64,247,2420,97,77,73,73,73,70,73,75,70,70,75,70,75,0,0,0,0,0,0,CO / TRAFFIC FAIL,
2026-03-27,15:28:30,22:28:30,-07:00,+37.7334759,-122.2153880,52,3D (PFD1),512927.9,0.0,,0,0,-0.00,225.6,20,48,9,-2,25,1,11.2,12,0.95,-0.03,-0.000,0.997,-0.101,,24,,,,29.95,,123.075,115.400,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,,,,,,,,,,,,,,,,,0.0,27.9,1491,,-0,,,040017FF N0 D98 * 00000000,480117FF N100 N84,0.0,0.1,1,2,080097FE N100,,1200,ALT,0,29.7,0,0,76,4,9,21,0.0,1.5,31,-64,247,2420,97,77,73,73,73,70,73,75,70,70,75,70,75,0,0,0,0,0,0,CO / TRAFFIC FAIL,
